RA,DEC,z,e_z,f_z,class_spec,original_class_spec,source,ID,CLASS_STAR,SEX_FLAGS_DET,RA,DEC,g_petro,i_petro,r_petro,u_petro,z_petro,J0378_petro,J0395_petro,J0410_petro,J0430_petro,J0515_petro,J0660_petro,J0861_petro,e_g_petro,e_i_petro,e_r_petro,e_u_petro,e_z_petro,e_J0378_petro,e_J0395_petro,e_J0410_petro,e_J0430_petro,e_J0515_petro,e_J0660_petro,e_J0861_petro,u_petro_ext,J0378_petro_ext,J0395_petro_ext,J0410_petro_ext,J0430_petro_ext,g_petro_ext,J0515_petro_ext,r_petro_ext,J0660_petro_ext,i_petro_ext,J0861_petro_ext,z_petro_ext
151.80008333333,-23.94905555556,0.05357,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0032836,0.028166527,2.0,151.80000957136335,-23.948992096480684,16.64696064471412,15.474358774030735,15.884345220985203,18.136348985830335,15.161720139944975,17.86274922338668,17.800825399480612,17.49992895507672,17.038805113729815,16.328658722870557,15.80403384235646,15.240708521832966,0.016786566,0.008941326,0.0089006815,0.088805445,0.0124496445,0.1197387,0.1777647,0.119723335,0.073711924,0.029740235,0.009804859,0.015814578,0.3026230141696619,0.2922817766133229,0.2834926005193887,0.2741570449232831,0.260798886270185,0.2294093552858798,0.2074992771294432,0.1653987790147967,0.154836157643539,0.1230002259692644,0.0990174781670354,0.0945338600550246
152.850875,-23.86602777778,0.250013,0.000183,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0036719,0.84659266,3.0,152.8509343602516,-23.86607519879539,18.25978467577736,17.116342695582645,17.434481180107895,19.888856346584028,16.9841981223414,19.425966529956845,19.20436265219869,19.074223441079862,19.01350170340422,17.867483325899737,17.383818802330772,17.072834486514605,0.01641825,0.008779234,0.008957595,0.086693615,0.013303877,0.096037544,0.122584894,0.096066274,0.08520513,0.026675334,0.010058156,0.017596802,0.2534876534159739,0.2448254700431525,0.2374633478013125,0.2296435589201388,0.2184542965957813,0.1921613242226404,0.1738086741002609,0.1385438198921065,0.1296961976692295,0.1030293044173541,0.0829405134853934,0.0791848776586027
152.072625,-23.44522222222,0.054351,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0056012,0.028573574,2.0,152.07267660626462,-23.44516154466617,15.81768142092439,15.253693541228769,15.437877741000152,16.840658797448466,15.12828860837782,16.546885783414282,16.206128259852502,16.13246345171393,15.848546690107812,15.658867180148173,15.424780160921658,15.175337700556506,0.006812473,0.005948484,0.005073602,0.023906784,0.009594213,0.030526783,0.03460638,0.028141655,0.02065231,0.013518333,0.0058304765,0.011909087,0.3149942025515336,0.3042302165857182,0.2950817401474997,0.2853645482860699,0.27146030989219,0.2387875790756085,0.2159818198518264,0.1721602589998465,0.1611658390783406,0.1280284587712332,0.1030652994434949,0.0983983916221795
152.923875,-23.50694444444,0.079208,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0012_0059197,0.028629003,2.0,152.92393644947165,-23.507006980488484,16.350348802588424,15.143069109187692,15.53584091123278,18.002372211459452,14.8725372114302,17.995953432911115,17.537053245580463,17.231015849218004,16.90074077799447,15.999769725003322,15.420853365259466,14.918817054055204,0.013705395,0.0068589128,0.007000368,0.09054856,0.009932532,0.15187289,0.15660614,0.1013996,0.06961283,0.023418942,0.007289245,0.012334765,0.3543607885405449,0.3422515670888845,0.3319597544195345,0.3210281507819955,0.3053862220055288,0.2686301974115758,0.2429742749966764,0.1936760887672186,0.1813076347405343,0.144028890812308,0.1159459459447961,0.1106957885697986
154.41120833333,-24.52955555556,0.041152,0.000103,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0013_0004531,0.028891876,0.0,154.4112710180519,-24.52964533300944,15.554746131472,14.378908299248645,14.74031379602948,17.50855347565532,14.1081207375242,16.954409376032217,17.258318370348462,16.45911054209349,15.931334511393244,15.22289369020266,14.643494222114516,14.159180783373976,0.010713202,0.0060952245,0.0055984315,0.06727241,0.008868793,0.06906951,0.15000105,0.06620132,0.03947652,0.017680356,0.006222579,0.010396709,0.2836795243446823,0.2739856239677832,0.2657466296515378,0.2569954579065104,0.2444734886067559,0.2150488685279997,0.1945103097973404,0.1550452039705199,0.145143777885485,0.1153007007513554,0.0928192166260253,0.0886162624757988
154.580125,-24.17075,0.041866,0.000103,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0013_0020170,0.0010355646,2.0,154.58009360537935,-24.17065348114189,15.69694096269128,14.859392722401752,15.13018709818459,16.85883420316101,14.802126636428516,16.44373362056439,16.23068573822667,16.20626167011077,15.97399740343033,15.460167406162167,15.13281603318731,14.805218233459271,0.015287,0.011574562,0.009830177,0.051442567,0.020727726,0.058696877,0.077482216,0.06837601,0.052807998,0.027369557,0.011981311,0.023231367,0.3410807968389908,0.3294253794356074,0.3195192617733315,0.3089973298892308,0.2939415965696692,0.2585630373087182,0.2338685938378318,0.1864179018154085,0.1745129668126883,0.1386312775982471,0.1116007665407279,0.1065473635714844
154.589625,-24.13802777778,0.041125,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0013_0021053,0.028436191,0.0,154.5897193467746,-24.1380576797866,15.788988991881144,14.777337336551282,15.142091566087494,17.210069417067267,14.545248218882236,16.920815603454567,16.459783863677973,16.466645847305198,16.043302499753107,15.539382496839345,15.040585069558851,14.569879118812516,0.010758456,0.0068749324,0.0064745555,0.043915816,0.010320857,0.058069993,0.060951315,0.054972537,0.035881925,0.018942552,0.0071540154,0.011905651,0.3449075829327338,0.333121396545434,0.3231041363220279,0.3124641526948021,0.2972395002468921,0.2614640081188574,0.2364925031606551,0.1885094339125049,0.1764709304411474,0.1401866634487182,0.1128528811874833,0.107742781117764
153.23891666667,-24.03091666667,0.054351,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0013_0025875,0.0003883022,2.0,153.23884695195582,-24.03083913533063,16.787979174023206,16.21728169017464,16.368609861042422,17.681303572040225,16.100094537177757,17.37756000986344,17.331318166767183,17.078994140394965,17.037111883147173,16.74142540738403,16.32695581496802,16.05742291752921,0.026003446,0.02641563,0.019229105,0.06603166,0.04441114,0.08643501,0.13008727,0.0937095,0.086968295,0.055640537,0.022520771,0.047427956,0.2125844279597767,0.2053199901365581,0.1991458332328164,0.1925878596050336,0.1832041168528292,0.1611538259767919,0.1457625926159717,0.116188138957579,0.1087681850319808,0.0864043098253586,0.0695570824707923,0.0664074628222432
153.75291666667,-23.95769444444,0.031952,0.00015,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0013_0029278,0.028706519,2.0,153.75297171947278,-23.957756327526656,16.01759612694763,14.898543320805612,15.26488935350946,17.886772911194498,14.679944440009017,17.16726821324679,17.49036587791806,16.9533756716635,16.502804385785538,15.763090938065936,15.153374868379158,14.702948591578911,0.011887788,0.0069794166,0.0064731957,0.07459461,0.010642152,0.066838995,0.14261188,0.07605742,0.048773568,0.02095841,0.007164731,0.0121228,0.2736830888055033,0.2643307867532092,0.25638212208194,0.2479393283365005,0.2358586142144601,0.2074708730523674,0.1876560619340638,0.1495816464905413,0.1400291316208423,0.1112376791943866,0.0895484084210885,0.0854935599909838
153.62333333333,-23.8105,0.095373,0.000103,KEEP(SLS ),GALAXY,G,EXTERNAL_NED_20096dF...C...0000J,DR4_3_HYDRA-0013_0036343,0.028203256,2.0,153.62323617873085,-23.810614497068386,16.37127062889852,15.230793483015376,15.612165942416258,17.952868594967292,14.935408791803162,17.4035580998603,17.57438713885467,17.41694550059448,16.83419430812067,15.993104335367637,15.490562454776438,14.992730784979951,0.018900514,0.010866014,0.01012787,0.0924839,0.015440817,0.09632385,0.17975503,0.13644657,0.07712424,0.029712742,0.011040511,0.018142646,0.3075764050327096,0.2970659001396985,0.2881328611453274,0.2786444994055182,0.2650676918793297,0.2331643711014769,0.2108956646323637,0.168106057583742,0.1573705452235627,0.1250135169846245,0.1006382150200484,0.0960812081968374
